id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Alessandra;Crist;Sydnee_Kessler@gmail.com;welcome eventually;2025-02-12T06:08:14;6726;551
2;Cletus;Kirlin;Jeramie.Hills@hotmail.com;alienated;2025-02-12T01:32:20;11053;4462
3;Mohammed;Littel-Veum;Destany25@gmail.com;abseil;2025-02-12T12:53:56;27580;19437
4;Alexandria;Hegmann;Mayra.Bosco@gmail.com;punctuation numb;2025-02-12T06:44:29;9889;12765
5;Tito;Gibson;Amani_Marvin@gmail.com;consequently instead whose;2025-02-12T02:56:30;2207;14494
6;Dortha;Fahey;Brittany3@gmail.com;between unethically fatherly;2025-02-12T02:08:19;28782;62
7;Maye;Rau;Brielle3@gmail.com;gah;2025-02-12T18:07:35;17361;4414
8;Rosario;Bauch;Kenna64@yahoo.com;blah or;2025-02-12T04:50:18;18949;14793
9;Luis;Price;Ethel8@gmail.com;always;2025-02-12T04:06:17;20254;18074
10;Cordelia;Jacobson;Mathilde_Nienow58@yahoo.com;within;2025-02-12T01:33:15;12046;18311
